"name"	"taxRank"	"taxID"	"Mean"	"barcode01.cladeReads"	"barcode02.cladeReads"	"barcode03.cladeReads"	"barcode04.cladeReads"	"barcode05.cladeReads"	"barcode06.cladeReads"	"barcode07.cladeReads"	"barcode08.cladeReads"	"barcode09.cladeReads"	"barcode10.cladeReads"	"barcode11.cladeReads"	"barcode12.cladeReads"	"barcode13.cladeReads"	"Mean.1"	"barcode01.taxonReads"	"barcode02.taxonReads"	"barcode03.taxonReads"	"barcode04.taxonReads"	"barcode05.taxonReads"	"barcode06.taxonReads"	"barcode07.taxonReads"	"barcode08.taxonReads"	"barcode09.taxonReads"	"barcode10.taxonReads"	"barcode11.taxonReads"	"barcode12.taxonReads"	"barcode13.taxonReads"	"Mean.2"	"barcode01.cladeReads.."	"barcode02.cladeReads.."	"barcode03.cladeReads.."	"barcode04.cladeReads.."	"barcode05.cladeReads.."	"barcode06.cladeReads.."	"barcode07.cladeReads.."	"barcode08.cladeReads.."	"barcode09.cladeReads.."	"barcode10.cladeReads.."	"barcode11.cladeReads.."	"barcode12.cladeReads.."	"barcode13.cladeReads.."	"Mean.3"	"barcode01.taxonReads.."	"barcode02.taxonReads.."	"barcode03.taxonReads.."	"barcode04.taxonReads.."	"barcode05.taxonReads.."	"barcode06.taxonReads.."	"barcode07.taxonReads.."	"barcode08.taxonReads.."	"barcode09.taxonReads.."	"barcode10.taxonReads.."	"barcode11.taxonReads.."	"barcode12.taxonReads.."	"barcode13.taxonReads.."	"lineage"
"Megamonas hypermegale"	"S"	158847	925	1183	1030	712	893	1382	1334	1250	1338	475	570	600	1248	10	925	1183	1030	712	893	1382	1334	1250	1338	475	570	600	1248	10	0.059164	0.07702	0.06656	0.0695	0.06563	0.09557	0.06043	0.06564	0.0645	0.03543	0.03595	0.0373	0.09501	0.000592	0.059164	0.07702	0.06656	0.0695	0.06563	0.09557	0.06043	0.06564	0.0645	0.03543	0.03595	0.0373	0.09501	0.000592	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Selenomonadales>Selenomonadaceae>Megamonas"
"Pectinatus frisingensis"	"S"	865	3656.1	4585	4999	3594	4419	7534	4158	3495	3891	1576	1823	1875	5580	NA	3656.1	4585	4999	3594	4419	7534	4158	3495	3891	1576	1823	1875	5580	NA	0.24243	0.2985	0.323	0.3508	0.3248	0.521	0.1884	0.1835	0.1876	0.1176	0.115	0.1166	0.4248	NA	0.24243	0.2985	0.323	0.3508	0.3248	0.521	0.1884	0.1835	0.1876	0.1176	0.115	0.1166	0.4248	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Selenomonadales>Selenomonadaceae>Pectinatus"
"Selenobaculum gbiensis"	"S"	3054208	189.69	248	168	128	188	258	299	256	276	104	154	110	277	NA	189.69	248	168	128	188	258	299	256	276	104	154	110	277	NA	0.012065	0.01615	0.01086	0.01249	0.01382	0.01784	0.01355	0.01344	0.0133	0.007757	0.009714	0.006838	0.02109	NA	0.012065	0.01615	0.01086	0.01249	0.01382	0.01784	0.01355	0.01344	0.0133	0.007757	0.009714	0.006838	0.02109	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Selenomonadales>Selenomonadaceae>Selenobaculum"
"Sporomusa ovata"	"S"	2378	224.54	373	227	170	218	333	324	285	290	114	157	149	279	NA	224.54	373	227	170	218	333	324	285	290	114	157	149	279	NA	0.014395	0.02428	0.01467	0.01659	0.01602	0.02303	0.01468	0.01497	0.01398	0.008503	0.009903	0.009263	0.02124	NA	0.014395	0.02428	0.01467	0.01659	0.01602	0.02303	0.01468	0.01497	0.01398	0.008503	0.009903	0.009263	0.02124	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Selenomonadales>Sporomusaceae>Sporomusa"
"Sporomusa termitida"	"S"	2377	166.08	285	117	122	158	153	283	243	267	118	146	141	126	NA	166.08	285	117	122	158	153	283	243	267	118	146	141	126	NA	0.010387	0.01855	0.00756	0.01191	0.01161	0.01058	0.01282	0.01276	0.01287	0.008801	0.009209	0.008765	0.009592	NA	0.010387	0.01855	0.00756	0.01191	0.01161	0.01058	0.01282	0.01276	0.01287	0.008801	0.009209	0.008765	0.009592	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Selenomonadales>Sporomusaceae>Sporomusa"
"uncultured Sporomusa sp."	"S"	307249	181.92	150	125	93	124	185	423	333	379	130	133	131	159	NA	181.92	150	125	93	124	185	423	333	379	130	133	131	159	NA	0.010929	0.009766	0.008077	0.009078	0.009114	0.01279	0.01916	0.01749	0.01827	0.009696	0.008389	0.008144	0.0121	NA	0.010929	0.009766	0.008077	0.009078	0.009114	0.01279	0.01916	0.01749	0.01827	0.009696	0.008389	0.008144	0.0121	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Selenomonadales>Sporomusaceae>Sporomusa>environmental&nbsp;samples"
"Sporomusa sphaeroides"	"S"	47679	218.69	359	221	132	203	337	304	273	263	147	164	165	275	NA	218.69	359	221	132	203	337	304	273	263	147	164	165	275	NA	0.014003	0.02337	0.01428	0.01288	0.01492	0.0233	0.01377	0.01434	0.01268	0.01096	0.01034	0.01026	0.02094	NA	0.014003	0.02337	0.01428	0.01288	0.01492	0.0233	0.01377	0.01434	0.01268	0.01096	0.01034	0.01026	0.02094	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Selenomonadales>Sporomusaceae>Sporomusa"
"uncultured Anaeromusa sp."	"S"	673273	444.85	655	343	262	338	481	788	709	811	294	353	341	408	NA	444.85	655	343	262	338	481	788	709	811	294	353	341	408	NA	0.027458	0.04264	0.02216	0.02557	0.02484	0.03326	0.0357	0.03723	0.03909	0.02193	0.02227	0.0212	0.03106	NA	0.027458	0.04264	0.02216	0.02557	0.02484	0.03326	0.0357	0.03723	0.03909	0.02193	0.02227	0.0212	0.03106	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Selenomonadales>Sporomusaceae>Anaeromusa>environmental&nbsp;samples"
"Pelosinus sp. UFO1"	"S"	484770	160	324	195	92	135	211	221	205	220	113	118	105	141	NA	160	324	195	92	135	211	221	205	220	113	118	105	141	NA	0.01013	0.02109	0.0126	0.00898	0.009922	0.01459	0.01001	0.01076	0.01061	0.008428	0.007443	0.006527	0.01073	NA	0.01013	0.02109	0.0126	0.00898	0.009922	0.01459	0.01001	0.01076	0.01061	0.008428	0.007443	0.006527	0.01073	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Selenomonadales>Sporomusaceae>Pelosinus>unclassified&nbsp;Pelosinus"
"Pelosinus fermentans"	"S"	365349	162.54	286	169	122	169	200	240	199	254	78	111	117	168	NA	162.54	286	169	122	169	200	240	199	254	78	111	117	168	NA	0.010319	0.01862	0.01092	0.01191	0.01242	0.01383	0.01087	0.01045	0.01224	0.005818	0.007001	0.007273	0.01279	NA	0.010319	0.01862	0.01092	0.01191	0.01242	0.01383	0.01087	0.01045	0.01224	0.005818	0.007001	0.007273	0.01279	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Selenomonadales>Sporomusaceae>Pelosinus"
"Methylomusa anaerophila"	"S"	1930071	124	211	84	88	93	117	201	187	214	86	98	118	115	NA	124	211	84	88	93	117	201	187	214	86	98	118	115	NA	0.0077397	0.01374	0.005428	0.00859	0.006835	0.008091	0.009106	0.009819	0.01032	0.006415	0.006181	0.007336	0.008755	NA	0.0077397	0.01374	0.005428	0.00859	0.006835	0.008091	0.009106	0.009819	0.01032	0.006415	0.006181	0.007336	0.008755	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Selenomonadales>Sporomusaceae>Methylomusa"
"Megasphaera elsdenii"	"S"	907	17021	43698	17656	11565	15554	19928	28012	24216	26015	8072	9654	9737	7158	13	17021	43698	17656	11565	15554	19928	28012	24216	26015	8072	9654	9737	7158	13	1.061	2.845	1.141	1.129	1.143	1.378	1.269	1.272	1.254	0.6021	0.6089	0.6053	0.5449	0.0007696	1.061	2.845	1.141	1.129	1.143	1.378	1.269	1.272	1.254	0.6021	0.6089	0.6053	0.5449	0.0007696	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Megasphaera"
"Megasphaera hexanoica"	"S"	1675036	3301.8	4188	1995	1370	1900	2302	6529	5788	6130	2966	3755	3846	2154	NA	3301.8	4188	1995	1370	1900	2302	6529	5788	6130	2966	3755	3846	2154	NA	0.19926	0.2727	0.1289	0.1337	0.1396	0.1592	0.2958	0.3039	0.2955	0.2212	0.2368	0.2391	0.164	NA	0.19926	0.2727	0.1289	0.1337	0.1396	0.1592	0.2958	0.3039	0.2955	0.2212	0.2368	0.2391	0.164	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Megasphaera"
"Megasphaera stantonii"	"S"	2144175	2035.2	2874	1335	944	1250	1421	4690	4164	4525	1193	1380	1571	1110	NA	2035.2	2874	1335	944	1250	1421	4690	4164	4525	1193	1380	1571	1110	NA	0.12024	0.1871	0.08626	0.09214	0.09187	0.09827	0.2125	0.2187	0.2181	0.08898	0.08704	0.09766	0.08451	NA	0.12024	0.1871	0.08626	0.09214	0.09187	0.09827	0.2125	0.2187	0.2181	0.08898	0.08704	0.09766	0.08451	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Megasphaera"
"Megasphaera massiliensis"	"S"	1232428	805.31	1386	609	422	567	696	1666	1385	1595	481	598	588	476	NA	805.31	1386	609	422	567	696	1666	1385	1595	481	598	588	476	NA	0.048619	0.09023	0.03935	0.04119	0.04167	0.04813	0.07547	0.07273	0.07689	0.03588	0.03772	0.03655	0.03624	NA	0.048619	0.09023	0.03935	0.04119	0.04167	0.04813	0.07547	0.07273	0.07689	0.03588	0.03772	0.03655	0.03624	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Megasphaera"
"Dialister succinatiphilus"	"S"	487173	4201.5	4554	2532	1764	2350	5953	8925	7847	8431	3045	3603	3806	1810	NA	4201.5	4554	2532	1764	2350	5953	8925	7847	8431	3045	3603	3806	1810	NA	0.2514	0.2965	0.1636	0.1722	0.1727	0.4117	0.4043	0.412	0.4064	0.2271	0.2273	0.2366	0.1378	NA	0.2514	0.2965	0.1636	0.1722	0.1727	0.4117	0.4043	0.412	0.4064	0.2271	0.2273	0.2366	0.1378	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Dialister"
"Dialister hominis"	"S"	2582419	10585	11430	5867	4111	5678	8743	22293	19851	21578	9446	11479	11791	5334	NA	10585	11430	5867	4111	5678	8743	22293	19851	21578	9446	11479	11791	5334	NA	0.63124	0.7441	0.3791	0.4013	0.4173	0.6046	1.01	1.042	1.04	0.7046	0.724	0.733	0.4061	NA	0.63124	0.7441	0.3791	0.4013	0.4173	0.6046	1.01	1.042	1.04	0.7046	0.724	0.733	0.4061	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Dialister"
"Dialister massiliensis"	"S"	2161821	1258.2	953	439	296	376	809	3301	2915	3053	1168	1313	1291	443	NA	1258.2	953	439	296	376	809	3301	2915	3053	1168	1313	1291	443	NA	0.072047	0.06204	0.02837	0.02889	0.02764	0.05594	0.1495	0.1531	0.1472	0.08712	0.08282	0.08026	0.03373	NA	0.072047	0.06204	0.02837	0.02889	0.02764	0.05594	0.1495	0.1531	0.1472	0.08712	0.08282	0.08026	0.03373	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Dialister"
"Dialister pneumosintes"	"S"	39950	286.92	113	87	64	81	296	748	658	742	236	307	275	123	NA	286.92	113	87	64	81	296	748	658	742	236	307	275	123	NA	0.016406	0.007357	0.005622	0.006247	0.005953	0.02047	0.03389	0.03455	0.03577	0.0176	0.01936	0.0171	0.009364	NA	0.016406	0.007357	0.005622	0.006247	0.005953	0.02047	0.03389	0.03455	0.03577	0.0176	0.01936	0.0171	0.009364	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Dialister"
"Veillonella parvula"	"S"	29466	800.08	289	145	92	112	170	2158	1778	1885	531	681	757	1803	NA	800.08	289	145	92	112	170	2158	1778	1885	531	681	757	1803	NA	0.046621	0.01882	0.009369	0.00898	0.008232	0.01176	0.09776	0.09336	0.09087	0.03961	0.04295	0.04706	0.1373	NA	0.046621	0.01882	0.009369	0.00898	0.008232	0.01176	0.09776	0.09336	0.09087	0.03961	0.04295	0.04706	0.1373	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Veillonella"
"Veillonella rodentium"	"S"	248315	107.31	162	54	43	63	84	233	203	225	84	82	82	80	NA	107.31	162	54	43	63	84	233	203	225	84	82	82	80	NA	0.0064131	0.01055	0.003489	0.004197	0.00463	0.005809	0.01056	0.01066	0.01085	0.006265	0.005172	0.005098	0.00609	NA	0.0064131	0.01055	0.003489	0.004197	0.00463	0.005809	0.01056	0.01066	0.01085	0.006265	0.005172	0.005098	0.00609	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Veillonella"
"Veillonella atypica"	"S"	39777	606.15	116	51	38	56	72	1645	1486	1654	428	544	482	1308	NA	606.15	116	51	38	56	72	1645	1486	1654	428	544	482	1308	NA	0.034746	0.007552	0.003295	0.003709	0.004116	0.004979	0.07452	0.07803	0.07973	0.03192	0.03431	0.02996	0.09958	NA	0.034746	0.007552	0.003295	0.003709	0.004116	0.004979	0.07452	0.07803	0.07973	0.03192	0.03431	0.02996	0.09958	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Veillonella"
"Veillonella rogosae"	"S"	423477	136	104	60	56	66	94	262	244	285	121	135	166	175	NA	136	104	60	56	66	94	262	244	285	121	135	166	175	NA	0.0082358	0.006771	0.003877	0.005466	0.004851	0.0065	0.01187	0.01281	0.01374	0.009025	0.008515	0.01032	0.01332	NA	0.0082358	0.006771	0.003877	0.005466	0.004851	0.0065	0.01187	0.01281	0.01374	0.009025	0.008515	0.01032	0.01332	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Veillonella"
"Veillonella dispar"	"S"	39778	220.08	168	82	63	95	117	436	412	414	245	294	295	240	NA	220.08	168	82	63	95	117	436	412	414	245	294	295	240	NA	0.013248	0.01094	0.005299	0.006149	0.006982	0.008091	0.01975	0.02163	0.01996	0.01827	0.01854	0.01834	0.01827	NA	0.013248	0.01094	0.005299	0.006149	0.006982	0.008091	0.01975	0.02163	0.01996	0.01827	0.01854	0.01834	0.01827	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Veillonella"
"Veillonella sp. S12025-13"	"S"	2682455	35.923	27	NA	NA	NA	18	101	91	72	31	43	41	43	NA	35.923	27	NA	NA	NA	18	101	91	72	31	43	41	43	NA	0.0020519	0.001758	NA	NA	NA	0.001245	0.004576	0.004778	0.003471	0.002312	0.002712	0.002549	0.003274	NA	0.0020519	0.001758	NA	NA	NA	0.001245	0.004576	0.004778	0.003471	0.002312	0.002712	0.002549	0.003274	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Veillonella>unclassified&nbsp;Veillonella"
"Veillonella nakazawae"	"S"	2682456	47.846	28	25	NA	21	16	119	91	103	52	61	51	55	NA	47.846	28	25	NA	21	16	119	91	103	52	61	51	55	NA	0.0027927	0.001823	0.001615	NA	0.001543	0.001106	0.005391	0.004778	0.004965	0.003879	0.003848	0.00317	0.004187	NA	0.0027927	0.001823	0.001615	NA	0.001543	0.001106	0.005391	0.004778	0.004965	0.003879	0.003848	0.00317	0.004187	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Veillonella"
"Acidaminococcus intestini"	"S"	187327	2902.9	4194	1828	1269	1607	2405	5887	5186	5674	2174	2600	2635	2279	NA	2902.9	4194	1828	1269	1607	2405	5887	5186	5674	2174	2600	2635	2279	NA	0.17503	0.273	0.1181	0.1239	0.1181	0.1663	0.2667	0.2723	0.2735	0.1622	0.164	0.1638	0.1735	NA	0.17503	0.273	0.1181	0.1239	0.1181	0.1663	0.2667	0.2723	0.2735	0.1622	0.164	0.1638	0.1735	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Acidaminococcales>Acidaminococcaceae>Acidaminococcus"
"Acidaminococcus fermentans"	"S"	905	764.85	636	412	293	438	864	1559	1451	1563	634	716	697	680	NA	764.85	636	412	293	438	864	1559	1451	1563	634	716	697	680	NA	0.046022	0.04141	0.02662	0.0286	0.03219	0.05975	0.07063	0.07619	0.07534	0.04729	0.04516	0.04333	0.05177	NA	0.046022	0.04141	0.02662	0.0286	0.03219	0.05975	0.07063	0.07619	0.07534	0.04729	0.04516	0.04333	0.05177	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Acidaminococcales>Acidaminococcaceae>Acidaminococcus"
"Phascolarctobacterium faecium"	"S"	33025	3576.2	2297	1426	998	1317	4380	8563	7461	8062	3019	3525	3534	1908	NA	3576.2	2297	1426	998	1317	4380	8563	7461	8062	3019	3525	3534	1908	NA	0.2092	0.1495	0.09214	0.09741	0.0968	0.3029	0.3879	0.3918	0.3886	0.2252	0.2223	0.2197	0.1453	NA	0.2092	0.1495	0.09214	0.09741	0.0968	0.3029	0.3879	0.3918	0.3886	0.2252	0.2223	0.2197	0.1453	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Acidaminococcales>Acidaminococcaceae>Phascolarctobacterium"
"Phascolarctobacterium sp. Marseille-Q4147"	"S"	2823317	1043.2	517	1886	1234	1701	699	1510	1270	1441	352	425	456	2070	NA	1043.2	517	1886	1234	1701	699	1510	1270	1441	352	425	456	2070	NA	0.06869	0.03366	0.1219	0.1205	0.125	0.04834	0.06841	0.06669	0.06946	0.02625	0.02681	0.02835	0.1576	NA	0.06869	0.03366	0.1219	0.1205	0.125	0.04834	0.06841	0.06669	0.06946	0.02625	0.02681	0.02835	0.1576	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Acidaminococcales>Acidaminococcaceae>Phascolarctobacterium>unclassified&nbsp;Phascolarctobacterium"
