"name"	"taxRank"	"taxID"	"Max"	"barcode18.cladeReads"	"barcode19.cladeReads"	"barcode20.cladeReads"	"barcode21.cladeReads"	"barcode22.cladeReads"	"barcode23.cladeReads"	"barcode24.cladeReads"	"Max.1"	"barcode18.cladeReads.."	"barcode19.cladeReads.."	"barcode20.cladeReads.."	"barcode21.cladeReads.."	"barcode22.cladeReads.."	"barcode23.cladeReads.."	"barcode24.cladeReads.."	"lineage"
"Bifidobacterium adolescentis"	"S"	1680	19508	60	49	19508	16396	16613	17261	728	0.2186	0.04176	0.001318	0.2186	0.1865	0.1889	0.1968	0.01658	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Segatella copri"	"S"	165179	1353500	2407	2620	862525	1345927	1353496	1328989	88362	15.39	1.675	0.07046	9.664	15.31	15.39	15.15	2.012	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Prevotellaceae>Segatella"
"Segatella hominis"	"S"	2518605	103380	157	163	19924	103342	103376	100627	10451	1.176	0.1093	0.004384	0.2232	1.175	1.176	1.147	0.238	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Prevotellaceae>Segatella"
"Prevotella herbatica"	"S"	2801997	129300	196	202	9443	129301	127475	124140	782	1.471	0.1364	0.005433	0.1058	1.471	1.45	1.415	0.01781	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Prevotellaceae>Prevotella"
"Bacteroides uniformis"	"S"	820	123130	132	149	123132	63338	62838	62146	1880	1.38	0.09188	0.004007	1.38	0.7204	0.7146	0.7085	0.04281	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides graminisolvens"	"S"	477666	70997	72	72	70997	24451	24316	23980	9858	0.7954	0.05012	0.001936	0.7954	0.2781	0.2765	0.2734	0.2245	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides thetaiotaomicron"	"S"	818	37571	62	70	34303	37241	37571	36514	1590	0.4273	0.04315	0.001883	0.3843	0.4236	0.4273	0.4163	0.0362	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides ovatus"	"S"	28116	53478	103	136	33040	53004	53478	51609	834	0.6082	0.07169	0.003658	0.3702	0.6029	0.6082	0.5883	0.01899	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides caccae"	"S"	47678	33255	52	59	33255	27860	28284	27259	1026	0.3726	0.03619	0.001587	0.3726	0.3169	0.3216	0.3108	0.02336	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides xylanisolvens"	"S"	371601	42914	88	106	18175	42794	42914	41941	1376	0.488	0.06125	0.002851	0.2036	0.4867	0.488	0.4781	0.03133	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides stercoris"	"S"	46506	31914	47	53	31914	29247	29190	28963	483	0.3576	0.03271	0.001425	0.3576	0.3327	0.332	0.3302	0.011	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides eggerthii"	"S"	28111	60381	45	67	60381	22721	22962	22655	213	0.6765	0.03132	0.001802	0.6765	0.2584	0.2611	0.2583	0.00485	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Phocaeicola vulgatus"	"S"	821	208120	384	397	203866	205622	208115	202305	3350	2.367	0.2673	0.01068	2.284	2.339	2.367	2.306	0.07628	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Phocaeicola"
"Phocaeicola dorei"	"S"	357276	48027	95	79	39197	48027	47369	46268	827	0.5463	0.06612	0.002125	0.4392	0.5463	0.5387	0.5275	0.01883	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Phocaeicola"
"Phocaeicola coprophilus"	"S"	387090	34525	33	60	34525	20037	19925	19772	382	0.3868	0.02297	0.001614	0.3868	0.2279	0.2266	0.2254	0.008698	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Phocaeicola"
